initiative_id,initiative_name,transformation_type,business_unit,owner,current_state,target_state,strategic_priority,criticality,budget,target_completion_date,status
TR-0001,Cloud Migration Program 001,Cloud Migration,Supply Chain,Transformation Lead 20,Legacy application,Modern technology stack,Strategic,Medium,1639115.88,2027-02-26,At Risk
TR-0002,Legacy Application Replacement Program 002,Legacy Application Replacement,Supply Chain,Transformation Lead 13,Legacy process,Modern technology stack,High,Medium,13919783.59,2027-08-06,In Progress
TR-0003,Data Platform Modernization Program 003,Data Platform Modernization,Customer Service,Transformation Lead 13,Legacy platform,Modern technology stack,High,Medium,12457559.79,2026-09-22,Planning
TR-0004,AI Process Automation Program 004,AI Process Automation,Sales,Transformation Lead 10,Legacy process,Modern cloud platform,Strategic,Critical,3120920.94,2026-11-16,At Risk
TR-0005,Data Platform Modernization Program 005,Data Platform Modernization,Operations,Transformation Lead 08,Legacy platform,Modern digital process,High,High,5055924.03,2027-10-23,Completed
TR-0006,Legacy Application Replacement Program 006,Legacy Application Replacement,Operations,Transformation Lead 09,Legacy platform,Modern technology stack,High,Medium,10129756.42,2027-11-14,Assessment
TR-0007,AI Process Automation Program 007,AI Process Automation,Technology,Transformation Lead 06,Legacy platform,Modern technology stack,Strategic,Medium,5965306.09,2027-10-18,On Hold
TR-0008,AI Process Automation Program 008,AI Process Automation,Finance,Transformation Lead 15,Legacy platform,Modern technology stack,Low,Medium,10056550.13,2027-01-23,At Risk
TR-0009,Data Platform Modernization Program 009,Data Platform Modernization,Customer Service,Transformation Lead 10,Legacy application,Modern digital process,Medium,High,10108943.69,2027-05-18,Planning
TR-0010,Cloud Migration Program 010,Cloud Migration,Supply Chain,Transformation Lead 01,Legacy process,Modern digital process,High,High,4733263.95,2027-04-15,In Progress
TR-0011,Cybersecurity Modernization Program 011,Cybersecurity Modernization,Operations,Transformation Lead 06,Legacy application,Modern cloud platform,Strategic,Medium,1109965.44,2027-09-22,Assessment
TR-0012,Data Platform Modernization Program 012,Data Platform Modernization,Technology,Transformation Lead 17,Legacy platform,Modern cloud platform,High,High,6244206.21,2026-12-20,At Risk
TR-0013,CRM Transformation Program 013,CRM Transformation,Finance,Transformation Lead 11,Legacy application,Modern cloud platform,High,Low,2628758.74,2027-10-20,In Progress
TR-0014,Data Platform Modernization Program 014,Data Platform Modernization,Technology,Transformation Lead 08,Legacy application,Modern cloud platform,Medium,Medium,9546668.25,2027-04-18,Assessment
TR-0015,CRM Transformation Program 015,CRM Transformation,Finance,Transformation Lead 20,Legacy platform,Modern technology stack,Strategic,Critical,4171581.93,2027-07-26,At Risk
TR-0016,ERP Modernization Program 016,ERP Modernization,Supply Chain,Transformation Lead 10,Legacy application,Modern cloud platform,Medium,Medium,13563385.35,2026-06-20,Planning
TR-0017,Legacy Application Replacement Program 017,Legacy Application Replacement,Sales,Transformation Lead 15,Legacy process,Modern digital process,Medium,High,11438163.07,2027-02-05,Completed
TR-0018,CRM Transformation Program 018,CRM Transformation,Technology,Transformation Lead 01,Legacy platform,Modern digital process,High,High,6383159.18,2027-08-09,Planning
TR-0019,ERP Modernization Program 019,ERP Modernization,Sales,Transformation Lead 19,Legacy application,Modern digital process,Medium,Medium,2766246.29,2026-10-06,In Progress
