action_id,risk_id,action_name,action_owner,priority,status,due_date,completion_percentage,expected_risk_reduction
ACT-00001,RSK-00001,Complete regulatory control review,Action Owner 26,Medium,Blocked,2026-09-22,1,28.87
ACT-00002,RSK-00002,Complete business continuity test,Action Owner 12,Critical,In Progress,2026-10-14,13,7.42
ACT-00003,RSK-00003,Validate transformation cost controls,Action Owner 11,Medium,Open,2026-10-17,9,29.44
ACT-00004,RSK-00007,Complete migration reconciliation,Action Owner 14,Medium,Completed,2026-10-07,60,22.53
ACT-00005,RSK-00008,Perform architecture review,Action Owner 28,Medium,Completed,2026-10-09,89,21.55
ACT-00006,RSK-00009,Complete regulatory control review,Action Owner 30,Medium,In Progress,2026-09-11,60,32.12
ACT-00007,RSK-00010,Perform security assessment,Action Owner 28,Medium,In Progress,2026-09-08,84,24.03
ACT-00008,RSK-00012,Validate transformation cost controls,Action Owner 02,Medium,In Progress,2026-10-16,90,44.08
ACT-00009,RSK-00015,Review vendor SLA and dependency risk,Action Owner 14,High,In Progress,2026-09-29,35,33.92
ACT-00010,RSK-00016,Perform architecture review,Action Owner 03,Critical,In Progress,2026-10-20,29,31.21
ACT-00011,RSK-00018,Perform security assessment,Action Owner 02,Medium,Completed,2026-11-27,76,38.85
ACT-00012,RSK-00020,Perform architecture review,Action Owner 03,High,In Progress,2026-11-27,14,27.22
ACT-00013,RSK-00022,Complete regulatory control review,Action Owner 19,Medium,In Progress,2026-12-24,15,21.29
ACT-00014,RSK-00024,Review vendor SLA and dependency risk,Action Owner 26,Critical,Completed,2026-10-19,27,26.05
ACT-00015,RSK-00026,Execute user adoption program,Action Owner 24,High,Completed,2026-12-02,16,16.43
ACT-00016,RSK-00027,Perform architecture review,Action Owner 04,High,In Progress,2026-09-18,40,30.37
ACT-00017,RSK-00028,Complete regulatory control review,Action Owner 06,Medium,Open,2026-09-08,97,31.33
ACT-00018,RSK-00030,Complete business continuity test,Action Owner 14,Medium,In Progress,2026-09-09,37,5.6
ACT-00019,RSK-00033,Review vendor SLA and dependency risk,Action Owner 17,Critical,In Progress,2026-11-12,62,15.3
ACT-00020,RSK-00035,Complete migration reconciliation,Action Owner 28,Medium,Open,2026-09-24,23,44.34
ACT-00021,RSK-00037,Execute user adoption program,Action Owner 20,Critical,Blocked,2026-09-16,73,18.57
ACT-00022,RSK-00039,Validate transformation cost controls,Action Owner 19,Medium,In Progress,2026-10-01,58,43.14
ACT-00023,RSK-00043,Review vendor SLA and dependency risk,Action Owner 07,Critical,Open,2026-09-08,34,14.33
ACT-00024,RSK-00044,Perform security assessment,Action Owner 18,Critical,Open,2026-09-30,33,41.23
ACT-00025,RSK-00045,Complete migration reconciliation,Action Owner 07,Medium,Open,2026-10-29,53,19.18
ACT-00026,RSK-00047,Perform architecture review,Action Owner 15,Medium,In Progress,2026-11-19,53,27.69
ACT-00027,RSK-00048,Execute user adoption program,Action Owner 21,Medium,In Progress,2026-09-22,22,25.0
ACT-00028,RSK-00049,Review vendor SLA and dependency risk,Action Owner 27,Medium,In Progress,2026-10-13,98,7.52
ACT-00029,RSK-00050,Perform security assessment,Action Owner 04,Critical,In Progress,2026-09-16,80,42.49
ACT-00030,RSK-00052,Complete regulatory control review,Action Owner 22,Critical,In Progress,2026-10-06,44,29.89
ACT-00031,RSK-00053,Complete business continuity test,Action Owner 19,High,Open,2026-12-02,21,11.18
ACT-00032,RSK-00054,Validate transformation cost controls,Action Owner 25,Medium,Open,2026-12-21,87,42.9
ACT-00033,RSK-00055,Perform architecture review,Action Owner 19,Medium,In Progress,2026-11-27,70,17.69
ACT-00034,RSK-00056,Complete migration reconciliation,Action Owner 20,Medium,Completed,2026-12-08,84,44.49
ACT-00035,RSK-00057,Perform security assessment,Action Owner 25,Critical,Completed,2026-10-03,60,31.66
ACT-00036,RSK-00059,Review vendor SLA and dependency risk,Action Owner 25,High,Open,2026-12-16,4,16.21
ACT-00037,RSK-00062,Complete business continuity test,Action Owner 20,High,In Progress,2026-10-29,51,18.35
ACT-00038,RSK-00063,Complete regulatory control review,Action Owner 11,Medium,Blocked,2026-10-05,10,43.99
